name,categories,lat,lng
Hungry Jack's,Burger Joint,-31.95292548,115.8573089
Hungry Jack's,Burger Joint,-31.95368353,115.858633
Hungry Jack's,Burger Joint,-31.93633125,115.8707866
Hungry Jack's,Burger Joint,-31.94724639,115.8224029
Hungry Jack's,Burger Joint,-31.94080345,115.9267094
Hungry Jack's,Burger Joint,-31.9117325,115.8474588
Hungry Jack's,Burger Joint,-31.98313028,115.7803776
Hungry Jack's,Burger Joint,-31.89815178,115.8916012
Hungry Jacks,Burger Joint,-32.12688,115.862946
Hungry Jack's,Burger Joint,-31.87269271,115.8604286
Hungry Jack's,Burger Joint,-32.04551228,115.8179286
Hungry Jack's,Burger Joint,-32.020903,115.936788
Hungry Jack's,Burger Joint,-31.97488611,115.881858
Hungry Jack's,Burger Joint,-31.90163532,115.7971441
Hungry Jack's,Burger Joint,-32.0874678,115.9173086
Hungry Jacks,Burger Joint,-31.94105,115.97465
Hungry Jack's,Burger Joint,-31.79671713,115.7462234
Hungry Jack's,Burger Joint,-31.8758521,115.92583
Hungry Jack's,Burger Joint,-31.87739685,115.7766483
Hungry Jack's,Burger Joint,-32.0654693,115.8582494
Hungry Jack's,Burger Joint,-31.83569758,115.783689
Hungry Jacks,Burger Joint,-31.98642507,116.0100987
Hungry Jack's,Burger Joint,-32.10802693,115.828524
Hungry Jacks,Burger Joint,-32.126453,115.925901
Hungry Jack's,Burger Joint,-32.04622793,115.9526346
Hungry Jack's,Burger Joint,-31.79506182,115.9795225
Hungry Jack's,Burger Joint,-32.07224929,116.0028049
Hungry Jacks,Burger Joint,-31.936271,116.006283
Hungry Jack's,Burger Joint,-32.05620281,115.7483864
Hungry Jack's,Burger Joint,-32.2849637,115.7389622
Hungry Jacks,Burger Joint,-32.37425817,115.7561357
Hungry Jack's,Burger Joint,-31.64865049,115.6953907
Hungry Jack's,Burger Joint,-31.74180559,115.7640814
Hungry Jack's,Burger Joint,-32.15144639,116.0163759
Hungry Jack's,Burger Joint,-32.09412935,115.7833752
Hungry Jacks,Burger Joint,-31.752254,115.802922
Hungry Jack's,Burger Joint,-32.33106234,115.8206622
Hungry Jack's,Burger Joint,-31.90231712,116.1679388
Hungry Jacks,Burger Joint,-31.834483,115.829523
Hungry Jacks,Burger Joint,-31.85824183,115.8941645
Hungry Jack's,Burger Joint,-31.86301617,115.8277672
Hungry Jack's,Burger Joint,-31.89159439,116.0151184
Hungry Jack's,Burger Joint,-32.01194102,115.8843114
Hungry Jack's,Burger Joint,-32.035447,115.789989
Hungry Jacks,Burger Joint,-31.769327,115.765434
Hungry Jack's,Burger Joint,-32.01382,115.84641
Hungry Jacks,Burger Joint,-31.706451,115.801879
Hungry Jack's,Burger Joint,-31.86948137,115.9221567
Hungry Jack's,Burger Joint,-31.6902488,115.7153021
Hungry Jack's Mirrabooka,Burger Joint,-31.872717,115.860349
