name,categories,lat,lng
Thali Contemporary Indian,Indian Restaurant,-31.95389329,115.8585491
Ganges Indian Restaurant,Indian Restaurant,-31.95148859,115.8604297
The Indian Supermarket,Indian Restaurant,-31.94842381,115.863004
Indian Garden Restaurant,Indian Restaurant,-31.92897004,115.8523222
The Indian,Indian Restaurant,-31.94836725,115.8574877
City Heart Indian Restaurant,Indian Restaurant,-31.95492261,115.862438
Singapore & Malaysian Indian Cuisine,Indian Restaurant,-31.94965063,115.8573433
Fusion 6 Indian Restaurant,Indian Restaurant,-31.95048721,115.8544511
Dawat Nepalese & Indian Restaurant,Indian Restaurant,-31.9486002,115.8556681
Indian Ocean Hotel,Indian Restaurant,-31.89632945,115.7593688
Indian Restaurant,Indian Restaurant,-31.94908527,115.845294
Aachi Indian Cuisine,Indian Restaurant,-31.959913,115.87218
Indian Ocean,Indian Restaurant,-31.89614159,115.7468943
D'Tandoor Indian Restaurant,Indian Restaurant,-31.97236375,115.8525259
Salt Indian Cuisine Padbury,Indian Restaurant,-31.93890686,115.8494997
Royal Crown Indian Restaurant,Indian Restaurant,-31.939844,115.876347
GoGos Madras Indian Restaurant,Indian Restaurant,-31.937298,115.870491
Leederville Cafe & Indian Buffet,Indian Restaurant,-31.93788428,115.8421513
Indian Ocean Marine Research Centre,Indian Restaurant,-31.9814737,115.8157596
Balti,Indian Restaurant,-31.95755509,115.8654102
Indian Express,Indian Restaurant,-31.91151509,115.8467321
Metro Indian Restaurant,Indian Restaurant,-31.94683075,115.8255157
Indian Express,Indian Restaurant,-31.90920442,115.8446006
Indian Cuisine @ Cambridge Food Court,Indian Restaurant,-31.94055161,115.8086681
Indian Ocean Drive,Indian Restaurant,-31.91800958,115.8211369
Indian Groceries Prime Products,Indian Restaurant,-31.901085,115.816611
Mirchi Masala Indian Restaurant,Indian Restaurant,-31.92833,115.87779
Bollywood Spices Indian Cuisine,Indian Restaurant,-31.92918106,115.8521244
Tasty Mo:Mo Restaurant Nepalese & Indian Cuisine,Indian Restaurant,-31.906724,115.881966
Indian Curry Hut,Indian Restaurant,-32.01097032,115.8861711
Shahi Indian Cuisine,Indian Restaurant,-31.98222986,115.8761502
Spicy Tandoor Indian Restaurant,Indian Restaurant,-31.98718511,115.8600032
Anokha Indian Restaurant,Indian Restaurant,-31.93078083,115.8928823
Malwa Kitchen Indian Restaurant,Indian Restaurant,-31.96078495,115.9016874
Bollywood Spices Indian Restuarant,Indian Restaurant,-31.91830229,115.8534097
Golden Spice Indian Cuisine,Indian Restaurant,-31.95600095,115.9078462
Saffron Indian Restaurant,Indian Restaurant,-31.920808,115.886742
Serendib Thai And Indian Palace,Indian Restaurant,-31.952611,115.914606
Indian Motorcycles,Indian Restaurant,-32.02451,115.94039
Jolly Good Indian,Indian Restaurant,-31.91718885,115.8917157
Paprika Indian Restaurant,Indian Restaurant,-31.91445423,115.8285818
Indian Gourmet,Indian Restaurant,-32.026102,115.943858
Royal Shalimar Indian Restaurant,Indian Restaurant,-31.94069419,115.8106959
Maharaja Indian Restaurant,Indian Restaurant,-31.979521,115.802597
MALABAR INDIAN CAFE & RESTAURANT,Indian Restaurant,-31.90187271,115.8431341
Barfi Indian,Indian Restaurant,-31.98867231,115.9057845
Malabar Indian Restaurant,Indian Restaurant,-31.90210004,115.8427983
Bula Fijian Style Indian Cuisine,Indian Restaurant,-31.89505649,115.8956257
Subway,Sandwich Place,-31.94888975,115.8588686
Subway,Sandwich Place,-31.95380401,115.8585563
Subway,Sandwich Place,-31.95504868,115.8614361
Subway,Sandwich Place,-31.95791731,115.865826
Subway,Sandwich Place,-31.9557063,115.8580192
Subway,Sandwich Place,-31.95314433,115.8555214
Subway,Sandwich Place,-31.95137958,115.8526299
Subway,Sandwich Place,-31.952171,115.8594805
Subway,Sandwich Place,-31.95349395,115.8780331
Subway,Sandwich Place,-31.94802485,115.8398756
Subway,Sandwich Place,-31.93755709,115.8413592
Subway,Sandwich Place,-31.93329419,115.8730847
Subway,Sandwich Place,-31.94441714,115.8239086
Subway,Sandwich Place,-31.94968695,115.8640264
Subway,Sandwich Place,-31.95577812,115.9077627
Subway,Sandwich Place,-31.97987025,115.9588344
Subway,Sandwich Place,-31.87160316,115.8612981
Subway,Sandwich Place,-31.95147072,115.8516768
Subway,Sandwich Place,-31.96175108,115.8941356
Subway,Sandwich Place,-31.92247953,115.8191887
Subway,Sandwich Place,-31.89529281,115.8285137
Subway DC,Sandwich Place,-31.952415,115.855005
Subway,Sandwich Place,-31.946846,115.84797
Subway,Sandwich Place,-31.9297139,115.8964586
Subway,Sandwich Place,-31.8616963,115.8264811
Subway,Sandwich Place,-31.8450677,115.8087037
Subway,Sandwich Place,-31.9840093,115.9012875
Subway,Sandwich Place,-31.91099,115.846895
Subway,Sandwich Place,-31.94134927,115.9261516
Subway,Sandwich Place,-31.99372717,115.9293174
Subway,Sandwich Place,-31.90578112,115.9271519
Subway,Sandwich Place,-31.88637448,115.809351
Subway,Sandwich Place,-31.93708592,115.7928085
Subway,Sandwich Place,-31.84984819,115.878294
Subway,Sandwich Place,-31.96689417,115.934776
Subway,Sandwich Place,-31.98319148,115.7805834
Subway,Sandwich Place,-31.89646253,115.8942899
Subway,Sandwich Place,-32.01100273,115.8859187
Subway,Sandwich Place,-32.00072065,115.9187546
Subway,Sandwich Place,-31.90130617,115.7990581
Subway,Sandwich Place,-31.90223469,115.7961704
Subway,Sandwich Place,-32.02700711,115.9469976
Subway,Sandwich Place,-31.9037279,115.953631
Subway,Sandwich Place,-32.04564344,115.8174972
Subway,Sandwich Place,-32.03930536,115.9046395
Subway,Sandwich Place,-32.05638661,115.8807302
Subway,Sandwich Place,-32.05802025,115.916923
Subway,Sandwich Place,-32.05342618,115.979019
Subway,Sandwich Place,-31.982182,115.8759526
McDonald's,Fast Food Restaurant,-31.95313272,115.8571758
McDonald's,Fast Food Restaurant,-31.95464711,115.8604217
McDonald's,Fast Food Restaurant,-31.94665324,115.8645912
McDonald's,Fast Food Restaurant,-31.97426155,115.8829712
McDonald's,Fast Food Restaurant,-31.92652071,115.8518757
McDonald's,Fast Food Restaurant,-31.96205523,115.8942224
McDonald's,Fast Food Restaurant,-31.94729684,115.8122185
McDonald's,Fast Food Restaurant,-31.92913069,115.8970866
McDonald's,Fast Food Restaurant,-31.99367989,115.9121805
McDonald's,Fast Food Restaurant,-31.88954876,115.8374681
McDonald's,Fast Food Restaurant,-32.04526793,115.8192287
McDonald's,Fast Food Restaurant,-32.01159947,115.8846591
McDonald's,Fast Food Restaurant,-31.90262922,115.7986149
McDonald's,Fast Food Restaurant,-31.87055908,115.8571717
McDonald's,Fast Food Restaurant,-32.01809559,115.9353325
McDonald's,Fast Food Restaurant,-31.81743592,115.8212485
McDonald's,Fast Food Restaurant,-31.93482737,115.9363054
McDonald's,Fast Food Restaurant,-31.89450828,115.8998469
McDonald's,Fast Food Restaurant,-32.01535388,115.8426654
McDonald's,Fast Food Restaurant,-31.84878674,115.878429
McDonald's,Fast Food Restaurant,-31.96385242,115.9374694
McDonald's,Fast Food Restaurant,-32.03583061,115.7856535
McDonald's,Fast Food Restaurant,-32.0387607,115.9083895
McDonald's,Fast Food Restaurant,-31.84450711,115.8085237
McDonald's,Fast Food Restaurant,-32.05724334,115.8813707
McDonald's,Fast Food Restaurant,-32.08795876,115.9172954
McDonald's,Fast Food Restaurant,-31.93525906,116.0042447
McDonald's,Fast Food Restaurant,-31.84134227,115.7635592
McDonald's,Fast Food Restaurant,-32.01742,115.935126
McDonald's,Fast Food Restaurant,-31.89711271,115.8994165
McDonald's,Fast Food Restaurant,-32.06508693,115.8011992
McDonald's,Fast Food Restaurant,-31.89218814,116.0131595
McDonald's,Fast Food Restaurant,-32.05109999,115.9833694
McDonald's,Fast Food Restaurant,-32.12982605,115.8541966
McDonald's,Fast Food Restaurant,-31.98900494,116.0093605
McDonald's,Fast Food Restaurant,-31.87097647,115.9449984
McDonald's,Fast Food Restaurant,-32.06981308,115.9524675
McDonald's,Fast Food Restaurant,-31.77018247,115.7675374
McDonald's,Fast Food Restaurant,-31.78110916,115.9696898
McDonald's,Fast Food Restaurant,-31.74270247,115.7640384
McDonald's,Fast Food Restaurant,-31.942392,115.925203
McDonald's,Fast Food Restaurant,-32.09755087,115.7830521
McDonald's,Fast Food Restaurant,-31.79605832,115.7495325
McDonald's,Fast Food Restaurant,-32.06862951,115.8193328
McDonald's,Fast Food Restaurant,-31.75083096,115.8023323
McDonald's,Fast Food Restaurant,-31.9969192,115.8665043
McDonald's,Fast Food Restaurant,-31.73687881,115.7373238
McDonald's,Fast Food Restaurant,-32.14987709,116.0191917
McDonald's,Fast Food Restaurant,-32.11798062,116.01644
McDonald's,Fast Food Restaurant,-32.06840302,115.9994417
KFC,Fast Food Restaurant,-31.95285665,115.8573427
KFC,Fast Food Restaurant,-31.95217155,115.8593766
KFC,Fast Food Restaurant,-31.94721903,115.8226902
KFC,Fast Food Restaurant,-31.96423389,115.9377019
KFC,Fast Food Restaurant,-32.03305597,115.835217
KFC,Fast Food Restaurant,-31.87760984,115.7770612
KFC,Fast Food Restaurant,-31.87291828,115.8605755
KFC,Fast Food Restaurant,-31.83439335,115.8301328
KFC,Fast Food Restaurant,-32.04554803,115.9520405
KFC,Fast Food Restaurant,-31.89157315,116.0138653
KFC,Fast Food Restaurant,-31.97497619,115.8819583
KFC,Fast Food Restaurant,-31.79668668,115.7465086
KFC,Fast Food Restaurant,-31.79654659,115.978436
KFC,Fast Food Restaurant,-31.9119111,115.8470613
KFC,Fried Chicken Joint,-31.74222839,115.763927
