name,categories,lat,lng
Carillon Food Court,Food Court,-31.95393903,115.8585189
ENEX Food Court,Food Court,-31.95411204,115.8580253
Raine Square Food Court,Food Court,-31.95138918,115.8574568
160 Central Foodcourt,Food Court,-31.953176,115.855513
One40william Food Court,Food Court,-31.95266797,115.8579747
The Food Court at Crown,Food Court,-31.96201394,115.8941221
David Jones Food Court,Food Court,-31.95383259,115.8599546
Westcentre Arcade Foodcourt,Food Court,-31.94824169,115.8407592
Food Court,Food Court,-31.90143299,115.7993082
Carousel Food Court,Food Court,-32.01775824,115.9373311
Food Court,Food Court,-31.94801699,115.8408081
The Underground Food Court,Food Court,-31.955688,115.858168
Cafe Court,Food Court,-31.95531939,115.8545508
Allendale Food Court,Food Court,-31.955641,115.8582571
Brookfield Place food court,Food Court,-31.955013,115.854315
The Verandah Food Court,Food Court,-31.89718543,115.8993353
Cambridge Forum International Food Court,Food Court,-31.94025519,115.809898
Food Court,Food Court,-31.88937171,116.0101922
Mixed Food court (next door to Anz),Food Court,-31.953286,115.852471
McDonald's,Food Court,-31.96205523,115.8942224
Central Cafe,Food Court,-31.91954093,115.866954
Food Court,Food Court,-31.93723,115.948582
Kingsway Foodcourt,Food Court,-31.81834909,115.8238736
IKEA Restaurant,Food Court,-31.89644364,115.803265
Cockburn Gateway Food Court,Food Court,-32.13159408,115.8571944
McDonald's,Food Court,-32.01809559,115.9353325
Belmont Forum Food Court,Food Court,-31.96428462,115.9363806
Indian Cuisine @ Cambridge Food Court,Food Court,-31.94055161,115.8086681
International Food Court,Food Court,-31.99285475,115.9115732
Garden City Food Court,Food Court,-32.03307566,115.835209
Food Court @ E Shed Markets,Food Court,-32.05293089,115.7427525
Karrinyup Food Court,Food Court,-31.87592263,115.7795825
Southlands Food Court,Food Court,-32.05657159,115.8799547
Southlands Boulevard Food Court,Food Court,-32.06046532,115.8881984
Canningvale Food Court,Food Court,-32.068646,115.894914
Food Court - Rockingham Shopping Centre,Food Court,-32.28961991,115.7457838
Spencer Village Food Court,Food Court,-32.04554182,115.9527513
Pheonix Food Court,Food Court,-32.09776865,115.7702693
Armadale Food Court,Food Court,-32.15063734,116.0150865
Food Court,Food Court,-32.53478,115.74261
Forum Food Court,Food Court,-32.535342,115.741647
