name,categories,lat,lng
Thali Contemporary Indian,Indian Restaurant,-31.95389329,115.8585491
Ganges Indian Restaurant,Indian Restaurant,-31.95148859,115.8604297
Indian Garden Restaurant,Indian Restaurant,-31.92897004,115.8523222
The Indian,Indian Restaurant,-31.94836725,115.8574877
City Heart Indian Restaurant,Indian Restaurant,-31.95492261,115.862438
Singapore & Malaysian Indian Cuisine,Indian Restaurant,-31.94965063,115.8573433
Fusion 6 Indian Restaurant,Indian Restaurant,-31.95048721,115.8544511
Dawat Nepalese & Indian Restaurant,Indian Restaurant,-31.9486002,115.8556681
Indian Ocean Hotel,Indian Restaurant,-31.89632945,115.7593688
Indian Restaurant,Indian Restaurant,-31.94908527,115.845294
Aachi Indian Cuisine,Indian Restaurant,-31.959913,115.87218
D'Tandoor Indian Restaurant,Indian Restaurant,-31.97236375,115.8525259
Salt Indian Cuisine Padbury,Indian Restaurant,-31.93890686,115.8494997
Royal Crown Indian Restaurant,Indian Restaurant,-31.939844,115.876347
GoGos Madras Indian Restaurant,Indian Restaurant,-31.937298,115.870491
Leederville Cafe & Indian Buffet,Indian Restaurant,-31.93788428,115.8421513
Balti,Indian Restaurant,-31.95755509,115.8654102
Indian Express,Indian Restaurant,-31.91151509,115.8467321
Metro Indian Restaurant,Indian Restaurant,-31.94683075,115.8255157
Indian Express,Indian Restaurant,-31.90920442,115.8446006
Indian Cuisine @ Cambridge Food Court,Indian Restaurant,-31.94055161,115.8086681
Indian Groceries Prime Products,Indian Restaurant,-31.901085,115.816611
Mirchi Masala Indian Restaurant,Indian Restaurant,-31.92833,115.87779
Bollywood Spices Indian Cuisine,Indian Restaurant,-31.92918106,115.8521244
Tasty Mo:Mo Restaurant Nepalese & Indian Cuisine,Indian Restaurant,-31.906724,115.881966
Indian Curry Hut,Indian Restaurant,-32.01097032,115.8861711
Shahi Indian Cuisine,Indian Restaurant,-31.98222986,115.8761502
Spicy Tandoor Indian Restaurant,Indian Restaurant,-31.98718511,115.8600032
Anokha Indian Restaurant,Indian Restaurant,-31.93078083,115.8928823
Malwa Kitchen Indian Restaurant,Indian Restaurant,-31.96078495,115.9016874
Bollywood Spices Indian Restuarant,Indian Restaurant,-31.91830229,115.8534097
Golden Spice Indian Cuisine,Indian Restaurant,-31.95600095,115.9078462
Saffron Indian Restaurant,Indian Restaurant,-31.920808,115.886742
Serendib Thai And Indian Palace,Indian Restaurant,-31.952611,115.914606
Indian Motorcycles,Indian Restaurant,-32.02451,115.94039
Jolly Good Indian,Indian Restaurant,-31.91718885,115.8917157
Paprika Indian Restaurant,Indian Restaurant,-31.91445423,115.8285818
Indian Gourmet,Indian Restaurant,-32.026102,115.943858
Royal Shalimar Indian Restaurant,Indian Restaurant,-31.94069419,115.8106959
Maharaja Indian Restaurant,Indian Restaurant,-31.979521,115.802597
MALABAR INDIAN CAFE & RESTAURANT,Indian Restaurant,-31.90187271,115.8431341
Barfi Indian,Indian Restaurant,-31.98867231,115.9057845
Malabar Indian Restaurant,Indian Restaurant,-31.90210004,115.8427983
Bula Fijian Style Indian Cuisine,Indian Restaurant,-31.89505649,115.8956257
