name,categories,lat,lng
Jamie's Italian,Italian Restaurant,-31.95181243,115.8578415
The Italian Corner,Italian Restaurant,-31.951391,115.85814
Simple Italian Cucina & Pizzeria,Italian Restaurant,-31.95113702,115.8534456
Jamie's Italian Perth,Italian Restaurant,-31.951912,115.857936
Simple Italian,Italian Restaurant,-31.952507,115.8528
The Italian Club,Italian Restaurant,-31.93958699,115.8563114
Italian Consulate Of Perth,Italian Restaurant,-31.94780963,115.8398176
Italian Club,Italian Restaurant,-32.05895648,115.7474274
Villa D'este,Italian Restaurant,-31.94849558,115.8396616
Sebastian's Italian Cafe,Italian Restaurant,-31.98474623,115.9030069
Gucce Italian Rest,Italian Restaurant,-32.0095,115.838
Italians,Italian Restaurant,-31.89960968,115.8893036
Antonio's Italian,Italian Restaurant,-31.901371,115.799311
Mangia Italiano,Italian Restaurant,-31.94796855,115.8407534
Italian Club,Italian Restaurant,-32.05908063,115.747046
Modo Mio Cucina Italiana,Italian Restaurant,-31.96162208,115.8944213
Leo's Pizza,Italian Restaurant,-31.92886998,115.891858
Roman Palace Italian Restaurant,Italian Restaurant,-32.012825,115.924084
Lambretta Cucina Italiana Restaurant,Italian Restaurant,-31.97378754,115.8134889
Italian Family Restaurant,Italian Restaurant,-31.809219,115.743731
claudio's Gourmet Italian Pizza,Italian Restaurant,-31.82751846,115.8744354
Raffaele's Classic Italian Restaurant,Italian Restaurant,-32.070793,115.801952
Campari Italian Restaurant,Italian Restaurant,-32.07467128,115.8792807
Tom's Italian,Italian Restaurant,-31.860428,115.753426
Crena's Italian Cafe,Italian Restaurant,-32.053301,115.97791
Mambo Italiano,Italian Restaurant,-31.92670906,115.7864592
Ciao Italiano Restaurant,Italian Restaurant,-32.01759975,115.9105201
Andiamo Italiano,Italian Restaurant,-31.877604,115.828876
Swan Italian Club,Italian Restaurant,-31.87524453,116.0162757
Zacc's Italian Restaurant,Italian Restaurant,-32.06049479,116.0077925
Enrico Italian Restaurant,Italian Restaurant,-32.119681,115.818037
Eight Slices Italian Kitchen,Italian Restaurant,-31.71801,115.78002
La Vita Italian Restaurant & Wood Fired Pizza,Italian Restaurant,-31.74335063,115.7695484
Fremantle Italian Club,Italian Restaurant,-31.75234379,115.7417528
The Italian Job,Italian Restaurant,-32.29258,115.719417
Something Italian,Italian Restaurant,-31.659925,115.705966
Fusion Indo Italian,Italian Restaurant,-32.520546,115.75361
Fusions Indo Italian Restaurant & Bar,Italian Restaurant,-32.52351308,115.7625318
Italian Restaurant & Pizza Bar,Italian Restaurant,-31.551004,116.466161
