name,categories,lat,lng
Pancho's Mexican Villa,Mexican Restaurant,-31.9374614,115.8706076
MIX Korean with a Mexican twist,Mexican Restaurant,-31.954282,115.861081
Ole Mexican & Pasta,Mexican Restaurant,-31.953147,115.858445
Zapatas Mexican Restaurant,Mexican Restaurant,-32.0556306,115.7481262
Sante Fe Mexican Restaurant,Mexican Restaurant,-31.973384,115.813753
Pancho's Mexican Villa,Mexican Restaurant,-31.98647647,115.9035429
Mexican Kitchen,Mexican Restaurant,-32.05580716,115.7477656
Santa Fe - Restaurant and Tequila Lounge,Mexican Restaurant,-31.94716337,115.8283583
Two Gringos Mexican Grill,Mexican Restaurant,-31.986794,116.008624
Salsa's Fresh Mex Grill,Mexican Restaurant,-32.01807526,115.9371817
Garcia's Mexican Restaurant,Mexican Restaurant,-31.818795,115.7743818
Zócalo Mexican Restaurant,Mexican Restaurant,-32.30361084,115.7114937
Arriba Mexicana,Mexican Restaurant,-31.818266,115.823863
El Mexicano,Mexican Restaurant,-31.75914941,115.7729908
El Mexicano,Mexican Restaurant,-32.15184021,116.01548
Mexican Restaurant,Mexican Restaurant,-32.518382,115.730419
Outlaws Mexican Restaurant,Mexican Restaurant,-32.51981372,115.7293109
Funky Mexican Cantina,Mexican Restaurant,-32.523248,115.717835
