name,categories,lat,lng
Subway,Sandwich Place,-31.94888975,115.8588686
Subway,Sandwich Place,-31.95380401,115.8585563
Subway,Sandwich Place,-31.95504868,115.8614361
Subway,Sandwich Place,-31.95791731,115.865826
Subway,Sandwich Place,-31.9557063,115.8580192
Subway,Sandwich Place,-31.95314433,115.8555214
Subway,Sandwich Place,-31.95137958,115.8526299
Subway,Sandwich Place,-31.952171,115.8594805
Subway,Sandwich Place,-31.95349395,115.8780331
Subway,Sandwich Place,-31.94802485,115.8398756
Subway,Sandwich Place,-31.93755709,115.8413592
Subway,Sandwich Place,-31.93329419,115.8730847
Subway,Sandwich Place,-31.94441714,115.8239086
Subway,Sandwich Place,-31.94968695,115.8640264
Subway,Sandwich Place,-31.95577812,115.9077627
Subway,Sandwich Place,-31.97987025,115.9588344
Subway,Sandwich Place,-31.87160316,115.8612981
Subway,Sandwich Place,-31.95147072,115.8516768
Subway,Sandwich Place,-31.96175108,115.8941356
Subway,Sandwich Place,-31.92247953,115.8191887
Subway,Sandwich Place,-31.89529281,115.8285137
Subway DC,Sandwich Place,-31.952415,115.855005
Subway,Sandwich Place,-31.946846,115.84797
Subway,Sandwich Place,-31.9297139,115.8964586
Subway,Sandwich Place,-31.8616963,115.8264811
Subway,Sandwich Place,-31.8450677,115.8087037
Subway,Sandwich Place,-31.9840093,115.9012875
Subway,Sandwich Place,-31.91099,115.846895
Subway,Sandwich Place,-31.94134927,115.9261516
Subway,Sandwich Place,-31.99372717,115.9293174
Subway,Sandwich Place,-31.90578112,115.9271519
Subway,Sandwich Place,-31.88637448,115.809351
Subway,Sandwich Place,-31.93708592,115.7928085
Subway,Sandwich Place,-31.84984819,115.878294
Subway,Sandwich Place,-31.96689417,115.934776
Subway,Sandwich Place,-31.98319148,115.7805834
Subway,Sandwich Place,-31.89646253,115.8942899
Subway,Sandwich Place,-32.01100273,115.8859187
Subway,Sandwich Place,-32.00072065,115.9187546
Subway,Sandwich Place,-31.90130617,115.7990581
Subway,Sandwich Place,-31.90223469,115.7961704
Subway,Sandwich Place,-32.02700711,115.9469976
Subway,Sandwich Place,-31.9037279,115.953631
Subway,Sandwich Place,-32.04564344,115.8174972
Subway,Sandwich Place,-32.03930536,115.9046395
Carillon Food Court,Sandwich Place,-31.95393903,115.8585189
Subway,Sandwich Place,-32.05638661,115.8807302
Subway,Sandwich Place,-32.05802025,115.916923
Subway,Sandwich Place,-32.05342618,115.979019
Subway,Sandwich Place,-31.982182,115.8759526
